7 9
6 0
4 5 10
6 5 19
1 3 1
6 1 6
6 3 7
3 0 9
1 0 14
3 4 13
1 4 3

172 9167
140 139
47 144 257
45 44 510
92 26 577
44 140 664
115 25 630
169 120 98
97 145 660
83 4 296
1 19 606
125 50 464
84 11 606
64 65 958
128 155 26
117 107 644
69 74 403
81 96 579
166 90 46
36 133 15
24 98 239
137 132 721
160 122 795
93 31 712
42 57 631
117 125 982
97 108 447
52 80 646
145 122 427
102 92 899
31 130 660
16 166 379
3 0 566
101 97 843
8 153 648
19 18 893
33 66 426
38 134 167
33 20 382
65 32 251
58 15 938
64 97 955
11 39 744
65 91 681
3 19 403
28 19 939
136 151 444
96 41 152
22 156 384
116 117 169
7 60 317
45 147 788
140 4 746
161 38 5
4 165 292
136 112 702
98 80 27
124 98 540
19 6 722
159 61 365
122 25 469
9 44 390
62 25 745
19 132 859
45 62 769
153 112 811
163 103 600
98 130 122
2 151 381
22 40 264
91 120 612
136 162 560
70 127 239
115 72 492
79 133 333
9 118 684
104 98 194
101 110 100
22 36 177
8 66 127
155 24 481
12 30 517
95 144 740
49 153 645
17 112 147
170 136 122
17 163 930
97 49 395
125 57 835
46 60 415
164 92 790
152 163 413
34 0 915
62 16 234
6 160 353
74 121 245
16 160 193
43 113 612
110 0 895
155 43 943
6 106 85
45 104 783
134 22 675
78 59 172
97 163 16
4 60 495
117 49 490
149 162 88
116 117 104
2 50 10
103 6 23
169 28 138
102 113 128
29 33 460
2 25 956
18 91 306
157 115 787
53 63 17
161 63 188
123 3 214
108 78 143
56 81 114
31 13 25
29 120 270
12 5 980
25 47 355
31 54 940
48 82 315
21 112 461
8 18 180
13 100 916
29 164 372
101 109 842
29 92 780
111 2 725
171 24 483
119 103 148
74 73 72
58 76 283
109 9 153
65 157 866
59 79 469
27 163 611
36 70 570
84 48 261
46 76 470
60 28 705
87 84 15
164 60 283
71 48 610
52 149 901
82 152 631
125 99 710
53 156 251
163 105 749
111 66 389
157 82 91
18 118 915
52 92 538
41 134 376
46 0 888
26 41 613
34 56 964
27 30 802
84 27 312
105 163 215
6 32 776
10 94 956
33 69 85
26 168 384
142 112 140
170 11 711
40 136 704
13 85 885
59 73 589
81 113 574
